-0.657645,2.932572,1.125953,-0.554839,-0.263096
-0.657589,2.968140,1.055234,-0.561892,-0.176665
-0.648798,2.963115,1.094097,-0.610279,-0.229057
-0.679548,2.978099,1.070398,-0.606724,-0.221237
-0.639925,2.942845,1.141391,-0.605758,-0.245575
-0.663165,2.970002,1.067793,-0.591766,-0.181768
-0.653790,2.951186,1.113034,-0.557365,-0.245052
-0.617480,2.955881,1.151795,-0.562662,-0.187159
-0.657892,2.962262,1.121174,-0.591019,-0.233637
-0.658974,2.939848,1.065677,-0.585532,-0.232611
-0.638720,2.951802,1.145884,-0.579682,-0.166038
-0.638112,2.934653,1.127536,-0.542748,-0.211232
-0.674921,2.949757,1.142875,-0.593636,-0.155974
-0.626736,2.940263,1.108980,-0.534667,-0.234484
-0.653206,2.953775,1.068685,-0.561691,-0.141717
-0.647277,2.947368,1.085555,-0.584409,-0.176776
-0.627742,2.951479,1.062890,-0.579373,-0.218126
-0.655505,2.936330,1.121328,-0.555295,-0.175642
-0.614748,2.939631,1.101092,-0.594530,-0.221811
-0.668578,2.960662,1.137682,-0.576145,-0.201988
-0.662048,2.952637,1.060196,-0.552501,-0.213565
-0.645401,2.945305,1.123983,-0.543534,-0.151352
-0.665394,2.939532,1.083818,-0.588871,-0.208560
-0.665485,2.944320,1.147316,-0.580905,-0.240875
-0.639188,2.953814,1.089571,-0.557592,-0.178307
-0.671109,2.953924,1.066136,-0.571060,-0.153305
-0.659580,2.976844,1.087105,-0.588061,-0.165923
-0.682571,2.948579,1.133849,-0.576840,-0.218143
-0.686952,2.945874,1.112265,-0.548556,-0.209893
-0.647972,2.952030,1.057484,-0.577509,-0.203627
-0.663906,2.941628,1.098447,-0.604301,-0.227587
-0.680702,2.970562,1.144264,-0.569399,-0.228581
-0.645296,2.946999,1.094210,-0.579963,-0.175242
-0.671078,2.944198,1.108561,-0.563855,-0.162552
-0.718359,2.963499,1.095261,-0.607855,-0.148644
-0.656276,2.936231,1.058020,-0.564602,-0.213273
-0.629529,2.964367,1.135887,-0.548668,-0.134074
-0.657417,2.952199,1.165682,-0.546119,-0.177106
-0.681821,2.947814,1.055891,-0.543969,-0.149861
-0.666934,2.944924,1.066006,-0.561871,-0.189954
-0.661254,2.958153,1.125409,-0.563379,-0.174628
-0.675142,2.938174,1.096933,-0.553172,-0.187881
-0.651973,2.983869,1.122324,-0.557177,-0.177323
-0.689497,2.971470,1.124736,-0.593195,-0.259965
